SERIAL,YUEHUO08,weight,,,
1132,1,0.000188857,0.82152795,,
1133,1,0.000188857,0.82152795,,
1136,2,0.001621418,,,
1138,1,0.000188857,0.82152795,,
1140,1,0.000188857,0.82152795,,
1142,1,0.000188857,0.82152795,,
1143,1,0.000188857,0.82152795,,
1152,1,0.000188857,0.82152795,,
1153,1,0.000188857,0.82152795,,
1154,1,0.000188857,0.82152795,,
1155,1,0.000188857,0.82152795,,
1157,1,0.000188857,0.82152795,,
1158,1,0.000188857,0.82152795,,
1160,1,0.000188857,0.82152795,,
1162,1,0.000188857,0.82152795,,
1164,1,0.000188857,0.82152795,,
1166,1,0.000188857,0.82152795,,
1167,1,0.000188857,0.82152795,,
1170,0,0.000229885,,,
1171,1,0.000188857,0.82152795,,
1172,1,0.000188857,0.82152795,,
1173,1,0.000188857,0.82152795,,
1176,1,0.000188857,0.82152795,,
1177,1,0.000188857,0.82152795,,
1180,1,0.000188857,0.82152795,,
1186,1,0.000188857,0.82152795,,
1187,1,0.000188857,0.82152795,,
1195,1,0.000188857,0.82152795,,
1197,1,0.000188857,0.82152795,,
1202,1,0.000188857,0.82152795,,
1205,1,0.000188857,0.82152795,,
1209,1,0.000188857,0.82152795,,
1221,1,0.000188857,0.82152795,,
1222,1,0.000188857,0.82152795,,
1225,1,0.000188857,0.82152795,,
1227,1,0.000188857,0.82152795,,
1228,1,0.000188857,0.82152795,,
1229,1,0.000188857,0.82152795,,
1231,1,0.000188857,0.82152795,,
1232,1,0.000188857,0.82152795,,
1233,1,0.000188857,0.82152795,,
1234,1,0.000188857,0.82152795,,
1235,1,0.000188857,0.82152795,,
1236,2,0.001621418,,,
1242,1,0.000188857,0.82152795,,
1243,1,0.000188857,0.82152795,,
1244,1,0.000188857,0.82152795,,
1248,1,0.000188857,0.82152795,,
1251,1,0.000188857,0.82152795,,
1253,0,0.000229885,,,
1266,1,0.000188857,0.82152795,,
1269,1,0.000188857,0.82152795,,
1271,1,0.000188857,0.82152795,,
1272,1,0.000188857,0.82152795,,
1273,1,0.000188857,0.82152795,,
1276,1,0.000188857,0.82152795,,
1278,1,0.000188857,0.82152795,,
1279,1,0.000188857,0.82152795,,
1281,0,0.000229885,,,
1286,1,0.000188857,0.82152795,,
1288,1,0.000188857,0.82152795,,
1289,1,0.000188857,0.82152795,,
1290,1,0.000188857,0.82152795,,
1291,1,0.000188857,0.82152795,,
1292,1,0.000188857,0.82152795,,
1293,1,0.000188857,0.82152795,,
1295,1,0.000188857,0.82152795,,
1296,1,0.000188857,0.82152795,,
1297,1,0.000188857,0.82152795,,
1301,1,0.000188857,0.82152795,,
1302,1,0.000188857,0.82152795,,
1303,1,0.000188857,0.82152795,,
1304,1,0.000188857,0.82152795,,
1305,1,0.000188857,0.82152795,,
1306,1,0.000188857,0.82152795,,
1307,1,0.000188857,0.82152795,,
1308,1,0.000188857,0.82152795,,
1311,1,0.000188857,0.82152795,,
1316,1,0.000188857,0.82152795,,
1317,1,0.000188857,0.82152795,,
1318,1,0.000188857,0.82152795,,
1322,1,0.000188857,0.82152795,,
1323,1,0.000188857,0.82152795,,
1326,1,0.000188857,0.82152795,,
1329,2,0.001621418,,,
1331,1,0.000188857,0.82152795,,
1336,1,0.000188857,0.82152795,,
1338,0,0.000229885,,,
1339,1,0.000188857,0.82152795,,
1341,1,0.000188857,0.82152795,,
1342,1,0.000188857,0.82152795,,
1345,1,0.000188857,0.82152795,,
1347,1,0.000188857,0.82152795,,
1350,1,0.000188857,0.82152795,,
1351,1,0.000188857,0.82152795,,
1354,1,0.000188857,0.82152795,,
1355,1,0.000188857,0.82152795,,
1358,1,0.000188857,0.82152795,,
1360,1,0.000188857,0.82152795,,
1361,1,0.000188857,0.82152795,,
1363,1,0.000188857,0.82152795,,
1364,1,0.000188857,0.82152795,,
1366,1,0.000188857,0.82152795,,
1367,1,0.000188857,0.82152795,,
1368,1,0.000188857,0.82152795,,
1369,1,0.000188857,0.82152795,,
1370,1,0.000188857,0.82152795,,
1371,1,0.000188857,0.82152795,,
1372,1,0.000188857,0.82152795,,
1375,1,0.000188857,0.82152795,,
1379,1,0.000188857,0.82152795,,
1384,1,0.000188857,0.82152795,,
1386,1,0.000188857,0.82152795,,
1387,1,0.000188857,0.82152795,,
1388,1,0.000188857,0.82152795,,
1390,1,0.000188857,0.82152795,,
1394,1,0.000188857,0.82152795,,
1395,1,0.000188857,0.82152795,,
1396,2,0.001621418,,,
1400,1,0.000188857,0.82152795,,
1401,1,0.000188857,0.82152795,,
1404,1,0.000188857,0.82152795,,
1409,1,0.000188857,0.82152795,,
1410,1,0.000188857,0.82152795,,
1412,1,0.000188857,0.82152795,,
1413,1,0.000188857,0.82152795,,
1414,1,0.000188857,0.82152795,,
1415,1,0.000188857,0.82152795,,
1418,1,0.000188857,0.82152795,,
1420,1,0.000188857,0.82152795,,
1424,1,0.000188857,0.82152795,,
1427,1,0.000188857,0.82152795,,
1429,1,0.000188857,0.82152795,,
1434,1,0.000188857,0.82152795,,
1435,1,0.000188857,0.82152795,,
1437,1,0.000188857,0.82152795,,
1438,1,0.000188857,0.82152795,,
1442,1,0.000188857,0.82152795,,
1446,1,0.000188857,0.82152795,,
1449,1,0.000188857,0.82152795,,
1450,1,0.000188857,0.82152795,,
1453,1,0.000188857,0.82152795,,
1454,1,0.000188857,0.82152795,,
1458,1,0.000188857,0.82152795,,
1462,1,0.000188857,0.82152795,,
1464,0,0.000229885,,,
1465,1,0.000188857,0.82152795,,
1466,1,0.000188857,0.82152795,,
1467,1,0.000188857,0.82152795,,
1468,1,0.000188857,0.82152795,,
1470,1,0.000188857,0.82152795,,
1473,1,0.000188857,0.82152795,,
1477,1,0.000188857,0.82152795,,
1480,1,0.000188857,0.82152795,,
1481,1,0.000188857,0.82152795,,
1484,1,0.000188857,0.82152795,,
1485,1,0.000188857,0.82152795,,
1487,1,0.000188857,0.82152795,,
1488,1,0.000188857,0.82152795,,
1490,1,0.000188857,0.82152795,,
1491,1,0.000188857,0.82152795,,
1493,1,0.000188857,0.82152795,,
1497,1,0.000188857,0.82152795,,
1498,1,0.000188857,0.82152795,,
1499,1,0.000188857,0.82152795,,
1500,1,0.000188857,0.82152795,,
1501,2,0.001621418,,,
1502,1,0.000188857,0.82152795,,
1504,1,0.000188857,0.82152795,,
1505,1,0.000188857,0.82152795,,
1507,1,0.000188857,0.82152795,,
1508,1,0.000188857,0.82152795,,
1510,1,0.000188857,0.82152795,,
1514,2,0.001621418,,,
1518,1,0.000188857,0.82152795,,
1520,1,0.000188857,0.82152795,,
1523,1,0.000188857,0.82152795,,
1530,1,0.000188857,0.82152795,,
1531,1,0.000188857,0.82152795,,
1533,1,0.000188857,0.82152795,,
1534,1,0.000188857,0.82152795,,
1535,1,0.000188857,0.82152795,,
1537,1,0.000188857,0.82152795,,
1538,1,0.000188857,0.82152795,,
1540,1,0.000188857,0.82152795,,
1541,1,0.000188857,0.82152795,,
1542,1,0.000188857,0.82152795,,
1544,1,0.000188857,0.82152795,,
1550,1,0.000188857,0.82152795,,
1551,1,0.000188857,0.82152795,,
1552,1,0.000188857,0.82152795,,
1553,1,0.000188857,0.82152795,,
1556,1,0.000188857,0.82152795,,
1557,1,0.000188857,0.82152795,,
1558,1,0.000188857,0.82152795,,
1560,1,0.000188857,0.82152795,,
1565,1,0.000188857,0.82152795,,
1567,1,0.000188857,0.82152795,,
1573,1,0.000188857,0.82152795,,
1578,1,0.000188857,0.82152795,,
1586,1,0.000188857,0.82152795,,
1588,1,0.000188857,0.82152795,,
1591,1,0.000188857,0.82152795,,
1593,1,0.000188857,0.82152795,,
1595,2,0.001621418,,,
1599,1,0.000188857,0.82152795,,
1600,1,0.000188857,0.82152795,,
1602,1,0.000188857,0.82152795,,
1605,1,0.000188857,0.82152795,,
1607,1,0.000188857,0.82152795,,
1609,1,0.000188857,0.82152795,,
1610,1,0.000188857,0.82152795,,
1613,1,0.000188857,0.82152795,,
1614,1,0.000188857,0.82152795,,
1617,1,0.000188857,0.82152795,,
1619,1,0.000188857,0.82152795,,
1622,1,0.000188857,0.82152795,,
1625,1,0.000188857,0.82152795,,
1627,1,0.000188857,0.82152795,,
1634,1,0.000188857,0.82152795,,
1636,1,0.000188857,0.82152795,,
1638,1,0.000188857,0.82152795,,
1640,1,0.000188857,0.82152795,,
1659,1,0.000188857,0.82152795,,
1662,1,0.000188857,0.82152795,,
1665,1,0.000188857,0.82152795,,
1666,1,0.000188857,0.82152795,,
1679,1,0.000188857,0.82152795,,
1681,1,0.000188857,0.82152795,,
1684,1,0.000188857,0.82152795,,
1685,1,0.000188857,0.82152795,,
1690,1,0.000188857,0.82152795,,
1691,1,0.000188857,0.82152795,,
1692,1,0.000188857,0.82152795,,
1701,1,0.000188857,0.82152795,,
1702,1,0.000188857,0.82152795,,
1703,1,0.000188857,0.82152795,,
1704,1,0.000188857,0.82152795,,
1705,1,0.000188857,0.82152795,,
1706,1,0.000188857,0.82152795,,
1709,1,0.000188857,0.82152795,,
1711,2,0.001621418,,,
1712,1,0.000188857,0.82152795,,
1713,1,0.000188857,0.82152795,,
1715,1,0.000188857,0.82152795,,
1718,1,0.000188857,0.82152795,,
1719,2,0.001621418,,,
1720,1,0.000188857,0.82152795,,
1721,1,0.000188857,0.82152795,,
1722,1,0.000188857,0.82152795,,
1726,1,0.000188857,0.82152795,,
1735,1,0.000188857,0.82152795,,
1738,1,0.000188857,0.82152795,,
1743,1,0.000188857,0.82152795,,
1744,1,0.000188857,0.82152795,,
1745,1,0.000188857,0.82152795,,
1748,1,0.000188857,0.82152795,,
1750,1,0.000188857,0.82152795,,
1754,1,0.000188857,0.82152795,,
1756,1,0.000188857,0.82152795,,
1759,0,0.000229885,,,
1761,1,0.000188857,0.82152795,,
1767,1,0.000188857,0.82152795,,
1768,1,0.000188857,0.82152795,,
1773,1,0.000188857,0.82152795,,
1776,1,0.000188857,0.82152795,,
1777,1,0.000188857,0.82152795,,
1780,1,0.000188857,0.82152795,,
1785,1,0.000188857,0.82152795,,
1787,1,0.000188857,0.82152795,,
1789,1,0.000188857,0.82152795,,
1790,2,0.001621418,,,
1791,1,0.000188857,0.82152795,,
1792,1,0.000188857,0.82152795,,
1796,1,0.000188857,0.82152795,,
1798,1,0.000188857,0.82152795,,
1799,1,0.000188857,0.82152795,,
1805,1,0.000188857,0.82152795,,
1807,1,0.000188857,0.82152795,,
1808,1,0.000188857,0.82152795,,
1809,1,0.000188857,0.82152795,,
1814,1,0.000188857,0.82152795,,
1818,1,0.000188857,0.82152795,,
1823,1,0.000188857,0.82152795,,
1824,1,0.000188857,0.82152795,,
1826,1,0.000188857,0.82152795,,
1829,1,0.000188857,0.82152795,,
1833,1,0.000188857,0.82152795,,
1834,1,0.000188857,0.82152795,,
1836,1,0.000188857,0.82152795,,
1838,1,0.000188857,0.82152795,,
1849,1,0.000188857,0.82152795,,
